Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Chain eye,24979
Basin plug,26371
Bath plug,24970
Pop up bath plug,24971
Pop up bath plug with strainer,24972
Self parking basin plug,24973
Self parking bath plug,24974
Sink & bath plug,24975
Tap hole stopper,24976
Universal plug,24977
Basin strainer,25469
Basket strainer,31963
Bath & sink strainer,34081
Bath hair stopper,31975
Bath strainer,25470
Plug & strainer,32921
Sink strainer,34082
Shower door handle knob,24780
Shower door handle bar,24779
Bathroom fitting seal,24778
Dryer ball,36589
Dryer cube,36590
Dryer egg,36591
Washing machine motor,36341
Washing machine pump,36340
Washing machine heating element,36339
Washing machine filter,36338
Washing machine door seal,36337
Washing machine door lock,36336
Washing machine door handle,36335
Washing machine hinge,36334
Washing machine door,36333
Washing machine bearing,36332
Washing machine drum paddle,36331
Washing machine drum,36330
Tumble dryer & washing machine belt,36329
Tumble dryer motor,36318
Tumble dryer water tank,36317
Tumble dryer drum,36316
Tumble dryer fan,36315
Tumble dryer vent hose,36314
Tumble dryer filter,36313
Microwave turntable plate,36312
Kettle filter,36311
Dishwasher wheel,36310
Heating element,36309
Oven door,36308
Oven door seal,36307
Hob pan support,36306
Oven shelf,36305
Base pilaster,29931
Dresser pilaster,29938
Pilaster,27023
Wall pilaster,29942
Base pilaster & panel,29932
Dresser pilaster & panel,33327
Pilaster & panel set,27022
Wall pilaster & panel,29939
Pelmet,27028
Back panel,26269
Base end panel,30346
Base filler panel,25783
Base panel,29943
Blanking panel,30281
Breakfast bar back panel,30340
Clad on base panel,30373
Clad on end panel,30381
Clad on larder panel,30508
Clad on panel,30386
Clad on wall panel,30390
Corner unit blanking panel,30394
Deep wall end panel,30395
Drawer end panel,34552
End panel,22605
End support panel,30396
Filler panel,29945
Front edge panel,30397
Support panel,30398
Wall end panel,30399
Wall filler panel,30400
Wall panel,29941
Kitchen fitting frame,35879
Kitchen cabinet,30604
Cabinet & drawer set,33376
"Cabinet, drawer & door set",33377
Kitchen furniture set,30603
Oven housing unit,27032
Bridging cabinet,18556
Wall unit,27031
Base cabinet,18531
Base unit,27029
Larder cabinet,30511
Appliance shelf pack,29918
Carcass shelf pack,27030
Larder shelf pack,29916
Kitchenette,36342
Kitchen island,36303
Kitchen unit,36302
Kitchen pantry cabinet,36301
Pull-out storage universal corner,35440
Pull-out storage runner,35439
Pull-out storage frame,35436
Pull-out storage larder frame,35437
Kitchen accessory rail,35396
Spoon rest,35298
Cutlery chest,35297
Sink caddy,18709
Utensil holder,18651
